"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","可预支名单","查询","0","0","22","0","0"
"","会员信息管理","银行卡信息查询","0","27","0","0","0"
"","实接记录","查询","1","0","19","0","0"
"","小程序登录","登录","1","0","2","0","0"
"","可预支名单","生成预支名单","2","0","12","0","0"
"","会员信息管理","身份证信息查询","0","26","0","0","0"
"","上传三卡","上传身份证","0","2","2","0","0"
"","实接记录","手工录入","0","0","13","0","0"
"","实接记录","功能按钮","1","1","21","0","0"
"","上传三卡","上传工牌","0","4","0","0","0"
"","会员信息管理","工牌信息查询","0","22","0","0","0"
"","可预支名单","功能按钮","0","0","7","0","0"
"","上传三卡","上传银行卡","0","2","0","0","0"
"","","","0","6","1","0","0"
"","可预支名单","分页","0","0","3","0","0"
